customer_bkey,cust_marital_status,cust_area,age_days,acct_curr_crlimit,med_monthly_tran_amt_12_effective,acct_num_cards_classic_12,acct_num_cards_platinum_12,tot_tran_amt_child_effective,tot_tran_amt_pharm_hosp_effective,tot_tran_amt_auto_effective,acct_avail_cash,acct_dayssince_first_acct_open,cust_amla_rind,cust_unsup_seg,score,quantil_rank
76,U,Manila,-32321,13516.0,194.0,1,0,262.0,1309.0,1166.0,49719.0,730,N,1,0.83,9
77,M,Mindoro Occidental,16790,80562.0,880.0,1,0,265.0,1811.0,730.0,21250.0,2190,N,2,0.84,9
78,M,La Union,13505,2160.0,371.0,1,0,554.0,2276.0,2804.0,15867.0,1825,H,3,0.66,5
79,S,Quirino Province,2190,6039.0,2000.0,2,0,271.0,295.0,268.0,6742.0,2190,U,2,0.49,0
80,U,Ifugao,1825,11336.0,59.0,1,0,1134.0,5.0,458.0,1809.0,7665,L,6,0.44,0
81,M,Lanao Del Norte,19710,32094.0,29.0,0,0,250.0,1025.0,84.0,63375.0,2555,U,2,0.86,9
82,M,Zamboanga Del Sur,5475,5633.0,738.0,2,0,234.0,3300.0,1192.0,52562.0,5110,L,2,0.66,5
83,D,Manila,-9125,1669.0,391.0,2,0,2132.0,924.0,556.0,32344.0,730,U,7,0.63,4
84,D,Nueva Ecija,5110,20578.0,1423.0,0,0,1248.0,502.0,1747.0,9000.0,1460,H,-1,0.62,3
85,O,Tarlac,14600,2277.0,1202.0,2,0,1010.0,60.0,361.0,19953.0,4380,N,4,0.66,5
86,M,Batangas,15330,2932.0,165.0,1,0,542.0,869.0,1405.0,35656.0,1825,L,3,0.72,7
87,S,Mindoro Oriental,22995,129750.0,344.0,1,0,410.0,205.0,290.0,15375.0,1095,N,1,0.87,9
88,D,Albay,18250,32000.0,136.0,2,0,70.0,531.0,596.0,56938.0,1825,L,4,0.83,9
89,S,Davao Oriental,1095,27391.0,131.0,1,0,707.0,1560.0,162.0,9805.0,5110,L,3,0.5,1
90,D,Sarangani,10950,13367.0,290.0,0,1,324.0,12.0,2860.0,29938.0,1095,N,-1,0.72,7
91,M,Pangasinan,11315,19656.0,4870.0,1,1,1209.0,4384.0,555.0,36375.0,730,H,2,0.76,8
92,S,Masbate,4380,18234.0,1578.0,1,0,398.0,82.0,1109.0,3879.0,8030,N,3,0.57,2
93,S,Isabela,4745,90438.0,1841.0,2,0,4724.0,425.0,1789.0,1213.0,730,N,2,0.62,3
94,U,Manila,20075,16625.0,98.0,1,0,110.0,3250.0,183.0,724.0,1460,N,5,0.65,5
95,M,Sarangani,5110,17625.0,468.0,1,1,192.0,1961.0,295.0,11188.0,8760,U,2,0.64,4
96,M,Sarangani,7300,9727.0,210.0,2,1,1020.0,322.0,974.0,42375.0,730,N,1,0.7,6
97,D,Misamis Oriental,10585,9539.0,37.0,1,2,3334.0,1778.0,171.0,50344.0,365,U,-1,0.72,7
98,U,Lanao Del Norte,8760,1425.0,678.0,0,1,1173.0,2052.0,352.0,13031.0,0,N,5,0.58,2
99,S,Agusan Del Sur,13140,24344.0,230.0,3,2,886.0,63.0,199.0,2404.0,365,N,2,0.67,5
100,D,Kalinga-Apayao,1095,33188.0,221.0,1,0,685.0,1243.0,586.0,13992.0,4015,N,4,0.52,1
101,M,Manila,4745,27516.0,2039.0,2,0,607.0,1786.0,217.0,13367.0,1825,L,2,0.66,5
102,M,Davao del Norte,3285,10516.0,181.0,3,1,673.0,1280.0,1130.0,3119.0,365,L,3,0.53,1
103,U,Catanduanes,29565,5094.0,888.0,3,1,1419.0,1228.0,926.0,10070.0,1460,U,-1,0.72,7
104,D,Mindoro Occidental,11315,39406.0,228.0,4,0,1396.0,295.0,726.0,53344.0,4745,N,1,0.79,9
105,M,Bulacan,2920,16109.0,1062.0,1,1,3800.0,1727.0,330.0,11656.0,2190,N,1,0.58,2
106,M,Camarines Norte,5840,20531.0,1121.0,1,0,4450.0,48.0,2090.0,55906.0,730,N,4,0.72,7
107,M,Camarines Norte,-26116,32188.0,488.0,2,1,25.0,646.0,1041.0,57594.0,730,L,6,0.88,9
108,M,Camarines Sur,6205,41969.0,368.0,3,2,2230.0,2166.0,549.0,44219.0,10220,N,3,0.75,8
109,U,Lanao Del Norte,4380,1651.0,3382.0,2,0,1081.0,718.0,588.0,2947.0,3285,L,1,0.46,0
110,M,Antique,16790,9453.0,470.0,0,2,428.0,308.0,218.0,7816.0,365,L,7,0.7,6
111,M,Capiz,4015,12711.0,2009.0,0,0,33.0,186.0,1053.0,15352.0,1095,U,1,0.61,3
112,S,Biliran,29565,9484.0,4308.0,1,2,965.0,2.0,1027.0,12977.0,1825,U,1,0.77,8
113,M,Camarines Norte,11680,6762.0,342.0,2,2,451.0,982.0,306.0,17250.0,1095,N,2,0.69,6
114,S,Cagayan,3285,54219.0,156.0,1,2,86.0,238.0,436.0,19453.0,2190,U,1,0.66,5
115,S,Camarines Norte,2190,11031.0,246.0,2,2,618.0,796.0,433.0,12852.0,8030,H,1,0.54,1
116,D,Ilocos Sur,18250,5180.0,124.0,0,1,1961.0,110.0,1008.0,6461.0,1460,N,7,0.66,5
117,S,Camiguin,2190,17938.0,1905.0,2,0,578.0,684.0,151.0,4703.0,730,U,-1,0.52,1
118,M,Camarines Norte,2555,2357.0,1347.0,1,1,866.0,915.0,14.0,49781.0,5110,N,4,0.56,2
119,S,Negros Occidental,9490,7262.0,66.0,0,0,6664.0,144.0,1622.0,16438.0,0,N,2,0.66,5
120,U,Manila,3285,6805.0,134.0,1,0,61.0,88.0,826.0,4531.0,1825,L,1,0.5,1
121,S,Zambales,4380,15609.0,1053.0,2,0,1036.0,1054.0,706.0,14070.0,2190,L,4,0.62,4
122,U,Mindoro Occidental,6205,18938.0,1839.0,1,0,466.0,454.0,1130.0,3668.0,4745,N,-1,0.59,3
123,M,Agusan Del Norte,6570,140625.0,1390.0,1,1,2550.0,496.0,357.0,2961.0,1825,N,3,0.7,6
124,U,Camarines Norte,13140,7102.0,1027.0,1,1,810.0,2588.0,21.0,3004.0,8030,N,2,0.61,3
125,M,Sorsogon,6570,8117.0,260.0,2,0,2096.0,55.0,1309.0,24422.0,730,L,2,0.66,5
126,M,Nueva Ecija,4015,3559.0,350.0,2,0,453.0,796.0,910.0,80375.0,1095,U,2,0.64,4
127,S,Quezon Province,2920,1480.0,1747.0,1,2,30.0,854.0,332.0,3564.0,2190,N,2,0.44,0
128,M,Kalinga-Apayao,5110,238.0,85.0,2,0,1920.0,49.0,993.0,48344.0,1095,H,5,0.58,2
129,U,Guimaras,1460,30422.0,828.0,0,0,2019.0,1138.0,1889.0,15336.0,1460,L,2,0.54,1
130,M,Lanao Del Norte,9490,2381.0,1056.0,1,1,1195.0,334.0,160.0,10656.0,3650,U,2,0.61,3
131,M,Camarines Norte,9125,1875.0,1024.0,1,0,947.0,517.0,371.0,514.0,1460,L,7,0.51,1
132,U,Mindoro Occidental,17885,22000.0,1512.0,3,0,188.0,670.0,343.0,7219.0,730,U,-1,0.72,7
133,S,Quezon Province,17155,25953.0,628.0,1,1,1166.0,664.0,915.0,59000.0,0,U,3,0.83,9
134,U,Laguna,4380,15500.0,2550.0,1,3,159.0,4556.0,574.0,19016.0,1095,U,4,0.62,3
135,M,Sorsogon,29930,23859.0,1875.0,1,1,449.0,1063.0,424.0,4918.0,3285,L,2,0.78,8
136,M,Nueva Vizcaya,5110,2000.0,105.0,0,1,1081.0,639.0,540.0,7922.0,365,H,2,0.54,1
137,U,Metropolitan Manila,2920,14375.0,168.0,0,1,2192.0,1939.0,662.0,23750.0,8030,N,1,0.59,3
138,S,Cagayan,5840,26781.0,161.0,1,0,879.0,1016.0,439.0,54656.0,4015,N,2,0.73,7
139,D,Quezon Province,6570,23609.0,970.0,1,1,350.0,160.0,738.0,10133.0,0,U,4,0.65,5
140,M,Batangas,18980,14102.0,1406.0,4,1,394.0,238.0,2054.0,22359.0,0,L,2,0.77,8
141,M,Bataan,8395,2811.0,4006.0,1,0,570.0,209.0,1292.0,12062.0,1095,L,1,0.61,3
142,S,Quezon Province,2190,17156.0,437.0,2,0,376.0,50.0,735.0,412.0,1095,N,2,0.45,0
143,U,Pangasinan,3650,22516.0,2224.0,1,0,550.0,583.0,1775.0,28906.0,1460,N,6,0.64,4
144,D,Bulacan,17155,7129.0,1272.0,3,1,2156.0,1072.0,42.0,32219.0,1095,L,1,0.74,8
145,D,Laguna,11680,8500.0,1120.0,0,0,1474.0,1864.0,1419.0,12680.0,1825,N,2,0.67,5
146,M,Siquijor,6570,56656.0,49.0,1,1,560.0,2306.0,808.0,11320.0,365,U,4,0.71,7
147,M,Manila,4380,12570.0,1100.0,2,0,158.0,207.0,2502.0,24656.0,1825,N,2,0.64,4
148,S,Antique,21900,17562.0,719.0,2,1,81.0,269.0,1409.0,26047.0,730,U,6,0.8,9
149,O,Sulu,1095,10531.0,570.0,1,1,4710.0,283.0,638.0,54719.0,1460,N,6,0.52,1
150,S,Catanduanes,14235,14906.0,1720.0,1,0,698.0,3532.0,389.0,823.0,730,H,-1,0.63,4
151,S,Masbate,11315,77625.0,408.0,1,0,9.0,1134.0,327.0,10719.0,1095,U,1,0.76,8
152,M,Maguindanao,16060,47156.0,264.0,1,0,502.0,374.0,3.0,17266.0,4015,N,-1,0.8,9
153,M,Nueva Ecija,3650,45625.0,36.0,2,0,602.0,257.0,421.0,1525.0,2190,N,6,0.58,2
154,M,Maguindanao,4380,38062.0,74.0,2,2,1054.0,217.0,11.0,3613.0,365,H,4,0.61,3
155,S,Sulu,8395,15281.0,1247.0,2,2,84.0,771.0,74.0,6160.0,0,N,2,0.64,4
156,O,Camiguin,2555,58094.0,212.0,1,3,3856.0,1078.0,124.0,5355.0,6205,H,4,0.57,2
157,U,Lanao Del Norte,5110,3031.0,692.0,1,1,1725.0,881.0,586.0,36938.0,1460,N,2,0.6,3
158,U,Kalinga-Apayao,4745,30781.0,120.0,0,0,2124.0,667.0,1085.0,1814.0,2555,L,2,0.56,2
159,U,Sarangani,17885,11031.0,115.0,3,0,1725.0,752.0,263.0,32125.0,7665,U,2,0.75,8
160,M,Aklan,16060,3182.0,684.0,4,1,996.0,177.0,290.0,22797.0,365,L,2,0.7,6
161,D,Sorsogon,5475,16297.0,450.0,2,0,858.0,177.0,1367.0,3219.0,365,H,1,0.57,2
162,S,Zambales,6935,39812.0,4492.0,1,1,1251.0,1022.0,5564.0,8047.0,9855,U,-1,0.68,6
163,S,Romblon,6570,23750.0,594.0,1,3,4156.0,301.0,1298.0,52938.0,3285,N,3,0.73,7
164,M,Tawi-Tawi,730,5066.0,1124.0,2,1,1209.0,1470.0,112.0,15000.0,365,N,4,0.42,0
165,M,Negros Occidental,11315,1812.0,698.0,0,0,571.0,286.0,3890.0,5891.0,1095,L,2,0.6,3
166,U,Lanao Del Norte,5475,7137.0,160.0,3,1,423.0,1656.0,116.0,18016.0,2190,N,2,0.6,3
167,M,Bataan,11315,29062.0,664.0,2,0,476.0,2544.0,803.0,23000.0,1095,N,2,0.76,8
168,M,Sarangani,2190,47531.0,232.0,1,0,2502.0,50.0,419.0,22734.0,365,L,2,0.63,4
169,M,Ifugao,5110,4906.0,656.0,3,1,2009.0,681.0,1201.0,11375.0,1825,N,2,0.58,2
170,D,Davao del Norte,7300,10516.0,1593.0,1,0,85.0,2244.0,1116.0,26766.0,730,U,2,0.67,5
171,S,Ilocos Norte,16425,17344.0,39.0,2,1,484.0,702.0,654.0,19859.0,3285,L,1,0.76,8
172,U,Nueva Vizcaya,365,19453.0,1034.0,0,0,836.0,1027.0,814.0,40750.0,730,U,2,0.44,0
173,D,Sulu,15330,66375.0,1091.0,2,2,319.0,1936.0,355.0,34750.0,2920,L,3,0.83,9
174,M,Zamboanga Del Sur,23725,8461.0,515.0,0,1,509.0,18.0,335.0,10422.0,730,N,4,0.74,8
175,U,Kalinga-Apayao,11680,5266.0,216.0,1,1,727.0,5092.0,83.0,25609.0,365,L,4,0.68,6
176,D,Bulacan,1095,18266.0,1530.0,4,1,1886.0,567.0,3478.0,13594.0,1460,N,2,0.49,0
177,M,Mindoro Oriental,9125,22969.0,70.0,1,1,2000.0,1998.0,4570.0,44719.0,1825,L,6,0.76,8
178,D,Sarangani,5475,30375.0,979.0,2,2,775.0,250.0,365.0,9281.0,1095,U,4,0.64,4
179,M,Sarangani,10585,8305.0,1706.0,1,0,1003.0,161.0,127.0,49094.0,2555,L,4,0.73,7
180,U,Manila,4015,8914.0,185.0,1,1,2820.0,660.0,194.0,1453.0,1460,N,5,0.49,0
181,S,Manila,29200,28922.0,257.0,2,0,308.0,546.0,4536.0,9625.0,0,L,3,0.8,9
182,M,Masbate,16790,6020.0,1048.0,1,1,2460.0,1714.0,136.0,1866.0,730,N,2,0.63,4
183,D,Kalinga-Apayao,22995,35438.0,2690.0,0,2,4684.0,3174.0,732.0,3818.0,3650,N,2,0.74,8
184,M,Sarangani,13505,42719.0,3070.0,2,1,13.0,480.0,1441.0,24922.0,3285,L,5,0.8,9
185,D,Masbate,4015,41344.0,642.0,1,1,808.0,713.0,1163.0,10359.0,1095,N,2,0.63,4
186,S,Pangasinan,2920,5387.0,119.0,3,1,1595.0,1534.0,166.0,3160.0,365,N,1,0.48,0
187,S,Camarines Norte,16790,3068.0,174.0,0,1,66.0,64.0,1470.0,46281.0,1095,N,4,0.73,7
188,M,Mindoro Oriental,-24820,39594.0,1327.0,0,0,2294.0,2818.0,782.0,490.0,730,L,2,0.72,7
189,M,Manila,8395,22938.0,183.0,1,2,438.0,3650.0,1060.0,19578.0,9855,N,2,0.72,7
190,D,Lanao Del Norte,5475,45406.0,534.0,0,1,1455.0,664.0,87.0,2137.0,1095,N,2,0.61,3
191,M,Agusan Del Sur,21170,1358.0,3246.0,1,2,24.0,988.0,742.0,1979.0,13140,N,1,0.61,3
192,D,Zamboanga Del Sur,8760,7555.0,1254.0,3,1,140.0,542.0,174.0,82500.0,8030,L,3,0.72,7
193,S,Capiz,22630,43531.0,446.0,2,0,88.0,1705.0,1029.0,51.0,3285,L,-1,0.69,6
194,D,Lanao Del Norte,2920,71625.0,783.0,2,1,527.0,1418.0,1861.0,10430.0,8030,L,2,0.63,4
195,M,Bulacan,9125,26312.0,2276.0,3,1,757.0,72.0,2498.0,48719.0,2920,U,2,0.77,8
196,M,Surigao del Sur,8760,4812.0,119.0,0,0,500.0,1503.0,124.0,2768.0,7300,N,1,0.58,2
197,M,Bulacan,1460,9648.0,1744.0,2,2,1281.0,235.0,3554.0,135500.0,18980,U,7,0.61,3
198,D,Maguindanao,5475,8117.0,219.0,2,1,88.0,1245.0,868.0,20062.0,8760,H,2,0.62,4
199,M,Sarangani,2555,4602.0,1500.0,0,0,1952.0,2132.0,476.0,4723.0,365,N,-1,0.48,0
200,M,Quezon Province,5110,3350.0,206.0,3,1,807.0,632.0,1543.0,9992.0,1825,N,-1,0.57,2
201,M,Sarangani,10950,8555.0,599.0,2,1,1030.0,127.0,325.0,16594.0,365,U,2,0.69,6
202,S,Surigao del Sur,14235,20516.0,465.0,2,2,1056.0,1978.0,560.0,49938.0,1095,U,6,0.79,9
203,M,Mindoro Oriental,2190,34719.0,63.0,3,0,1052.0,695.0,2618.0,3303.0,4015,L,2,0.54,1
204,M,Lanao Del Norte,32485,55125.0,614.0,2,1,27.0,5500.0,6656.0,35094.0,4015,N,2,0.9,9
205,O,Quezon Province,4015,14109.0,1109.0,2,0,2090.0,442.0,526.0,18891.0,13140,N,4,0.6,3
206,O,Mindoro Occidental,5475,6270.0,197.0,1,0,80.0,41.0,2050.0,69875.0,1095,H,5,0.66,5
207,M,Laguna,1825,21250.0,2340.0,2,1,427.0,2068.0,446.0,13734.0,0,U,1,0.56,2
208,M,Mindoro Occidental,5110,14133.0,1446.0,2,1,1662.0,37.0,2154.0,41188.0,365,N,3,0.68,6
209,M,Zambales,4745,51281.0,464.0,1,0,2048.0,1256.0,123.0,4660.0,730,N,2,0.64,4
210,M,Sorsogon,13140,32625.0,1333.0,1,0,2732.0,2544.0,463.0,1244.0,1095,N,1,0.67,5
211,D,Davao Del Sur,20805,44719.0,762.0,2,0,667.0,2484.0,1425.0,23422.0,2190,L,3,0.82,9
212,M,Antique,6205,22922.0,328.0,3,0,341.0,2176.0,2234.0,4805.0,730,N,3,0.63,4
213,M,Romblon,10585,62906.0,978.0,2,1,254.0,1212.0,373.0,37875.0,2555,N,2,0.81,9
214,S,Bukidnon,6205,2275.0,520.0,2,1,217.0,2974.0,7.0,6816.0,2190,U,1,0.55,1
215,M,Manila,4745,4309.0,1476.0,2,1,3544.0,1277.0,2932.0,24391.0,6205,L,1,0.61,3
216,U,Surigao del Sur,19710,31859.0,192.0,1,1,618.0,670.0,1318.0,5980.0,2555,L,5,0.74,8
217,M,Kalinga-Apayao,22265,1317.0,1914.0,0,2,1540.0,565.0,657.0,15625.0,1825,N,6,0.69,6
218,M,Biliran,13505,24719.0,173.0,4,2,1611.0,216.0,2924.0,21828.0,0,L,4,0.77,8
219,S,Quezon Province,5840,18594.0,1171.0,2,1,1027.0,1614.0,1644.0,17312.0,1095,N,4,0.66,5
220,S,Davao Oriental,3650,2486.0,1661.0,2,0,989.0,2272.0,482.0,98250.0,2555,L,2,0.62,3
221,M,Camarines Norte,2555,38469.0,530.0,0,1,492.0,868.0,1240.0,13328.0,27740,U,4,0.62,3
222,S,Aklan,25185,7773.0,299.0,2,1,1006.0,266.0,1579.0,6836.0,1825,L,7,0.72,7
223,M,Guimaras,4380,5695.0,569.0,2,2,650.0,1040.0,346.0,32438.0,1460,U,4,0.62,4
224,U,Isabela,14600,16734.0,342.0,2,0,1891.0,1045.0,604.0,73438.0,1825,L,3,0.79,9
225,S,Camarines Norte,7300,2533.0,2838.0,2,0,1483.0,1127.0,2580.0,34969.0,365,L,-1,0.63,4
226,M,Davao Oriental,21535,71938.0,347.0,2,0,630.0,1827.0,206.0,8398.0,730,N,2,0.82,9
227,M,Metropolitan Manila,5110,20766.0,442.0,1,0,1377.0,1616.0,253.0,56781.0,0,U,2,0.71,7
228,D,Nueva Ecija,4015,26109.0,139.0,1,2,290.0,759.0,366.0,15508.0,730,L,4,0.63,4
229,M,Camiguin,2920,57531.0,1639.0,3,2,198.0,843.0,829.0,7555.0,9125,N,2,0.62,4
230,S,Guimaras,25185,2611.0,45.0,3,0,713.0,429.0,716.0,118062.0,730,N,6,0.8,9
231,S,Capiz,1825,2643.0,358.0,1,0,98.0,97.0,1231.0,54688.0,11315,N,3,0.53,1
